Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal,Category
Caeleb Dressel,United States,USA,Summer,2020,Tokyo,Swimming,50m freestyle,Gold,Men
Florent Manaudou,France,FRA,Summer,2020,Tokyo,Swimming,50m freestyle,Silver,Men
Bruno Fratus,Brazil,BRA,Summer,2020,Tokyo,Swimming,50m freestyle,Bronze,Men
Caeleb Dressel,United States,USA,Summer,2020,Tokyo,Swimming,100m freestyle,Gold,Men
Kyle Chalmers,Australia,AUS,Summer,2020,Tokyo,Swimming,100m freestyle,Silver,Men
Kliment Kolesnikov,Russia,ROC,Summer,2020,Tokyo,Swimming,100m freestyle,Bronze,Men
Tom Dean,UK,GBR,Summer,2020,Tokyo,Swimming,200m freestyle,Gold,Men
Duncan Scott,UK,GBR,Summer,2020,Tokyo,Swimming,200m freestyle,Silver,Men
Fernando Scheffer,Brazil,BRA,Summer,2020,Tokyo,Swimming,200m freestyle,Bronze,Men
Ahmed Hafnaoui,Tunisia,TUN,Summer,2020,Tokyo,Swimming,400m freestyle,Gold,Men
Jack McLoughlin,Australia,AUS,Summer,2020,Tokyo,Swimming,400m freestyle,Silver,Men
Kieran Smith,United States,USA,Summer,2020,Tokyo,Swimming,400m freestyle,Bronze,Men
Bobby Finke,United States,USA,Summer,2020,Tokyo,Swimming,800m freestyle,Gold,Men
Gregorio Paltrinieri,Italy,ITA,Summer,2020,Tokyo,Swimming,800m freestyle,Silver,Men
Mykhailo Romanchuk,Ukraine,UKR,Summer,2020,Tokyo,Swimming,800m freestyle,Bronze,Men
Bobby Finke,United States,USA,Summer,2020,Tokyo,Swimming,1500m freestyle,Gold,Men
Mykhailo Romanchuk,Ukraine,UKR,Summer,2020,Tokyo,Swimming,1500m freestyle,Silver,Men
Florian Wellbrock,Germany,GER,Summer,2020,Tokyo,Swimming,1500m freestyle,Bronze,Men
United States,United States,USA,Summer,2020,Tokyo,Swimming,4x100m freestyle relay,Gold,Men
Italy,Italy,ITA,Summer,2020,Tokyo,Swimming,4x100m freestyle relay,Silver,Men
Australia,Australia,AUS,Summer,2020,Tokyo,Swimming,4x100m freestyle relay,Bronze,Men
UK,UK,GBR,Summer,2020,Tokyo,Swimming,4x200m freestyle relay,Gold,Men
Russia,Russia,ROC,Summer,2020,Tokyo,Swimming,4x200m freestyle relay,Silver,Men
Australia,Australia,AUS,Summer,2020,Tokyo,Swimming,4x200m freestyle relay,Bronze,Men
Yevgeny Rylov,Russia,ROC,Summer,2020,Tokyo,Swimming,100m backstroke,Gold,Men
Kliment Kolesnikov,Russia,ROC,Summer,2020,Tokyo,Swimming,100m backstroke,Silver,Men
Ryan Murphy,United States,USA,Summer,2020,Tokyo,Swimming,100m backstroke,Bronze,Men
Yevgeny Rylov,Russia,ROC,Summer,2020,Tokyo,Swimming,200m backstroke,Gold,Men
Ryan Murphy,United States,USA,Summer,2020,Tokyo,Swimming,200m backstroke,Silver,Men
Luke Greenbank,UK,GBR,Summer,2020,Tokyo,Swimming,200m backstroke,Bronze,Men
Adam Peaty,UK,GBR,Summer,2020,Tokyo,Swimming,100m breaststroke,Gold,Men
Arno Kamminga,Netherlands,NED,Summer,2020,Tokyo,Swimming,100m breaststroke,Silver,Men
Nicolò Martinenghi,Italy,ITA,Summer,2020,Tokyo,Swimming,100m breaststroke,Bronze,Men
Zac Stubblety-Cook,Australia,AUS,Summer,2020,Tokyo,Swimming,200m breaststroke,Gold,Men
Arno Kamminga,Netherlands,NED,Summer,2020,Tokyo,Swimming,200m breaststroke,Silver,Men
Matti Mattsson,Finland,FIN,Summer,2020,Tokyo,Swimming,200m breaststroke,Bronze,Men
Caeleb Dressel,United States,USA,Summer,2020,Tokyo,Swimming,100m butterfly,Gold,Men
Kristóf Milák,Hungary,HUN,Summer,2020,Tokyo,Swimming,100m butterfly,Silver,Men
Noè Ponti,Switzerland,SUI,Summer,2020,Tokyo,Swimming,100m butterfly,Bronze,Men
Kristóf Milák,Hungary,HUN,Summer,2020,Tokyo,Swimming,200m butterfly,Gold,Men
Tomoru Honda,Japan,JPN,Summer,2020,Tokyo,Swimming,200m butterfly,Silver,Men
Federico Burdisso,Italy,ITA,Summer,2020,Tokyo,Swimming,200m butterfly,Bronze,Men
Wang Shun,China,CHN,Summer,2020,Tokyo,Swimming,200m individual medley,Gold,Men
Duncan Scott,UK,GBR,Summer,2020,Tokyo,Swimming,200m individual medley,Silver,Men
Jérémy Desplanches,Switzerland,SUI,Summer,2020,Tokyo,Swimming,200m individual medley,Bronze,Men
Chase Kalisz,United States,USA,Summer,2020,Tokyo,Swimming,400m individual medley,Gold,Men
Jay Litherland,United States,USA,Summer,2020,Tokyo,Swimming,400m individual medley,Silver,Men
Brendon Smith,Australia,AUS,Summer,2020,Tokyo,Swimming,400m individual medley,Bronze,Men
United States,United States,USA,Summer,2020,Tokyo,Swimming,4x100m medley relay,Gold,Men
UK,UK,GBR,Summer,2020,Tokyo,Swimming,4x100m medley relay,Silver,Men
Italy,Italy,ITA,Summer,2020,Tokyo,Swimming,4x100m medley relay,Bronze,Men
Emma McKeon,Australia,AUS,Summer,2020,Tokyo,Swimming,50m freestyle,Gold,Women
Sarah Sjöström,Sweden,SWE,Summer,2020,Tokyo,Swimming,50m freestyle,Silver,Women
Pernille Blume,Denmark,DEN,Summer,2020,Tokyo,Swimming,50m freestyle,Bronze,Women
Emma McKeon,Australia,AUS,Summer,2020,Tokyo,Swimming,100m freestyle,Gold,Women
Siobhán Haughey,Hong Kong,HKG,Summer,2020,Tokyo,Swimming,100m freestyle,Silver,Women
Cate Campbell,Australia,AUS,Summer,2020,Tokyo,Swimming,100m freestyle,Bronze,Women
Ariarne Titmus,Australia,AUS,Summer,2020,Tokyo,Swimming,200m freestyle,Gold,Women
Siobhán Haughey,Hong Kong,HKG,Summer,2020,Tokyo,Swimming,200m freestyle,Silver,Women
Penny Oleksiak,Canada,CAN,Summer,2020,Tokyo,Swimming,200m freestyle,Bronze,Women
Ariarne Titmus,Australia,AUS,Summer,2020,Tokyo,Swimming,400m freestyle,Gold,Women
Katie Ledecky,United States,USA,Summer,2020,Tokyo,Swimming,400m freestyle,Silver,Women
Li Bingjie,China,CHN,Summer,2020,Tokyo,Swimming,400m freestyle,Bronze,Women
Katie Ledecky,United States,USA,Summer,2020,Tokyo,Swimming,800m freestyle,Gold,Women
Ariarne Titmus,Australia,AUS,Summer,2020,Tokyo,Swimming,800m freestyle,Silver,Women
Simona Quadarella,Italy,ITA,Summer,2020,Tokyo,Swimming,800m freestyle,Bronze,Women
Katie Ledecky,United States,USA,Summer,2020,Tokyo,Swimming,1500m freestyle,Gold,Women
Erica Sullivan,United States,USA,Summer,2020,Tokyo,Swimming,1500m freestyle,Silver,Women
Sarah Köhler,Germany,GER,Summer,2020,Tokyo,Swimming,1500m freestyle,Bronze,Women
Australia,Australia,AUS,Summer,2020,Tokyo,Swimming,4x100m freestyle relay,Gold,Women
Canada,Canada,CAN,Summer,2020,Tokyo,Swimming,4x100m freestyle relay,Silver,Women
United States,United States,USA,Summer,2020,Tokyo,Swimming,4x100m freestyle relay,Bronze,Women
China,China,CHN,Summer,2020,Tokyo,Swimming,4x200m freestyle relay,Gold,Women
United States,United States,USA,Summer,2020,Tokyo,Swimming,4x200m freestyle relay,Silver,Women
Australia,Australia,AUS,Summer,2020,Tokyo,Swimming,4x200m freestyle relay,Bronze,Women
Kaylee McKeown,Australia,AUS,Summer,2020,Tokyo,Swimming,100m backstroke,Gold,Women
Kylie Masse,Canada,CAN,Summer,2020,Tokyo,Swimming,100m backstroke,Silver,Women
Regan Smith,United States,USA,Summer,2020,Tokyo,Swimming,100m backstroke,Bronze,Women
Kaylee McKeown,Australia,AUS,Summer,2020,Tokyo,Swimming,200m backstroke,Gold,Women
Kylie Masse,Canada,CAN,Summer,2020,Tokyo,Swimming,200m backstroke,Silver,Women
Emily Seebohm,Australia,AUS,Summer,2020,Tokyo,Swimming,200m backstroke,Bronze,Women
Lydia Jacoby,United States,USA,Summer,2020,Tokyo,Swimming,100m breaststroke,Gold,Women
Tatjana Schoenmaker,South Africa,RSA,Summer,2020,Tokyo,Swimming,100m breaststroke,Silver,Women
Lilly King,United States,USA,Summer,2020,Tokyo,Swimming,100m breaststroke,Bronze,Women
Tatjana Schoenmaker,South Africa,RSA,Summer,2020,Tokyo,Swimming,200m breaststroke,Gold,Women
Lilly King,United States,USA,Summer,2020,Tokyo,Swimming,200m breaststroke,Silver,Women
Annie Lazor,United States,USA,Summer,2020,Tokyo,Swimming,200m breaststroke,Bronze,Women
Maggie Mac Neil,Canada,CAN,Summer,2020,Tokyo,Swimming,100m butterfly,Gold,Women
Zhang Yufei,China,CHN,Summer,2020,Tokyo,Swimming,100m butterfly,Silver,Women
Emma McKeon,Australia,AUS,Summer,2020,Tokyo,Swimming,100m butterfly,Bronze,Women
Zhang Yufei,China,CHN,Summer,2020,Tokyo,Swimming,200m butterfly,Gold,Women
Regan Smith,United States,USA,Summer,2020,Tokyo,Swimming,200m butterfly,Silver,Women
Hali Flickinger,United States,USA,Summer,2020,Tokyo,Swimming,200m butterfly,Bronze,Women
Yui Ohashi,Japan,JPN,Summer,2020,Tokyo,Swimming,200m individual medley,Gold,Women
Alex Walsh,United States,USA,Summer,2020,Tokyo,Swimming,200m individual medley,Silver,Women
Kate Douglass,United States,USA,Summer,2020,Tokyo,Swimming,200m individual medley,Bronze,Women
Yui Ohashi,Japan,JPN,Summer,2020,Tokyo,Swimming,400m individual medley,Gold,Women
Emma Weyant,United States,USA,Summer,2020,Tokyo,Swimming,400m individual medley,Silver,Women
Hali Flickinger,United States,USA,Summer,2020,Tokyo,Swimming,400m individual medley,Bronze,Women
Australia,Australia,AUS,Summer,2020,Tokyo,Swimming,4x100m medley relay,Gold,Women
United States,United States,USA,Summer,2020,Tokyo,Swimming,4x100m medley relay,Silver,Women
Canada,Canada,CAN,Summer,2020,Tokyo,Swimming,4x100m medley relay,Bronze,Women
UK,UK,GBR,Summer,2020,Tokyo,Swimming,4x100m medley relay,Gold,Mixed
China,China,CHN,Summer,2020,Tokyo,Swimming,4x100m medley relay,Silver,Mixed
Australia,Australia,AUS,Summer,2020,Tokyo,Swimming,4x100m medley relay,Bronze,Mixed
Sarah Sjöström,Sweden,SWE,Summer,2024,Paris,SWIMMING,’s 50m freestyle,Gold,Women
United States,United States,USA,Summer,2024,Paris,SWIMMING,’s 4x100m medley relay,Gold,Women
Bobby Finke,United States,USA,Summer,2024,Paris,SWIMMING,’s 1500m freestyle,Gold,Men
China,China,CHN,Summer,2024,Paris,SWIMMING,’s 4x100m medley relay,Gold,Men
Kristof Milak,Hungary,HUN,Summer,2024,Paris,SWIMMING,’s 100m butterfly,Gold,Men
United States,United States,USA,Summer,2024,Paris,SWIMMING,4x100 medley relay,Gold,Mixed
Summer McIntosh,Canada,CAN,Summer,2024,Paris,SWIMMING,’s 200m individual medley,Gold,Women
Katie Ledecky,United States,USA,Summer,2024,Paris,SWIMMING,’s 800m freestyle,Gold,Women
Léon Marchand,France,FRA,Summer,2024,Paris,SWIMMING,’s 200m individual medley,Gold,Men
Cameron McEvoy,Australia,ANZ,Summer,2024,Paris,SWIMMING,’s 50m freestyle,Gold,Men
Kaylee McKeown,Australia,ANZ,Summer,2024,Paris,SWIMMING,’s 200 backstroke,Gold,Women
Hubert Kos,Hungary,HUN,Summer,2024,Paris,SWIMMING,’s 200m backstroke,Gold,Men
Summer McIntosh,Canada,CAN,Summer,2024,Paris,SWIMMING,’s 200m butterfly,Gold,Women
Kate Douglass,United States,USA,Summer,2024,Paris,SWIMMING,’s 200m breaststroke,Gold,Women
Australia,Australia,ANZ,Summer,2024,Paris,SWIMMING,s 4x200 freestyle relay,Gold,Women
Sarah Sjoestroem,Sweden,SWE,Summer,2024,Paris,SWIMMING,’s 100m freestyle,Gold,Women
Katie Ledecky,United States,USA,Summer,2024,Paris,SWIMMING,’s 1500m freestyle,Gold,Women
Pan Zhanle,China,CHN,Summer,2024,Paris,SWIMMING,’s 100m freestyle,Gold,Men
Léon Marchand,France,FRA,Summer,2024,Paris,SWIMMING,’s 200m breaststroke,Gold,Men
Léon Marchand,France,FRA,Summer,2024,Paris,SWIMMING,’s 200m butterfly,Gold,Men
Kaylee McKeown,Australia,ANZ,Summer,2024,Paris,SWIMMING,’s 100m backstroke,Gold,Women
Daniel Wiffen,Ireland,IRL,Summer,2024,Paris,SWIMMING,’s 800m freestyle,Gold,Men
Britain,Great Britain,GBR,Summer,2024,Paris,SWIMMING,’s 4x200m freestyle relay,Gold,Men
Tatjana Smith,South Africa,RSA,Summer,2024,Paris,SWIMMING,’s 100m breaststroke,Gold,Women
Mollie O’Callaghan,Australia,ANZ,Summer,2024,Paris,SWIMMING,’s 200m freestyle,Gold,Women
Summer McIntosh,Canada,CAN,Summer,2024,Paris,SWIMMING,’s 400m individual medley,Gold,Women
Thomas Ceccon,Italy,ITA,Summer,2024,Paris,SWIMMING,’s 100m backstroke,Gold,Men
David Popovici,Romania,ROU,Summer,2024,Paris,SWIMMING,’s 200m freestyle,Gold,Men
Léon Marchand,France,FRA,Summer,2024,Paris,SWIMMING,’s 400m individual medley,Gold,Men
Torri Huske,United States,USA,Summer,2024,Paris,SWIMMING,’s 100m butterfly,Gold,Women
Lukas Maertens,Germany,FRG,Summer,2024,Paris,SWIMMING,’s 400m freestyle,Gold,Men
United States,United States,USA,Summer,2024,Paris,SWIMMING,’s 4x100m freestyle relay,Gold,Men
Ariarne Titmus,Australia,ANZ,Summer,2024,Paris,SWIMMING,’s 400m freestyle,Gold,Women
Australia,Australia,ANZ,Summer,2024,Paris,SWIMMING,’s 4x100m freestyle relay,Gold,Women
Meg Harris,Australia,ANZ,Summer,2024,Paris,SWIMMING,’s 50m freestyle,Silver,Women
Australia,Australia,ANZ,Summer,2024,Paris,SWIMMING,’s 4x100m medley relay,Silver,Women
Gregorio Paltrinieri,Italy,ITA,Summer,2024,Paris,SWIMMING,’s 1500m freestyle,Silver,Men
United States,United States,USA,Summer,2024,Paris,SWIMMING,’s 4x100m medley relay,Silver,Men
Josh Liendo,Canada,CAN,Summer,2024,Paris,SWIMMING,’s 100m butterfly,Silver,Men
China,China,CHN,Summer,2024,Paris,SWIMMING,4x100 medley relay,Silver,Mixed
Kate Douglass,United States,USA,Summer,2024,Paris,SWIMMING,’s 200m individual medley,Silver,Women
Ariarne Titmus,Australia,ANZ,Summer,2024,Paris,SWIMMING,’s 800m freestyle,Silver,Women
Duncan Scott,Great Britain,GBR,Summer,2024,Paris,SWIMMING,’s 200m individual medley,Silver,Men
Benjamin Proud,Great Britain,GBR,Summer,2024,Paris,SWIMMING,’s 50m freestyle,Silver,Men
Regan Smith,United States,USA,Summer,2024,Paris,SWIMMING,’s 200 backstroke,Silver,Women
Apostolos Christou,Greece,CRT,Summer,2024,Paris,SWIMMING,’s 200m backstroke,Silver,Men
Regan Smith,United States,USA,Summer,2024,Paris,SWIMMING,’s 200m butterfly,Silver,Women
Tatjana Smith,South Africa,RSA,Summer,2024,Paris,SWIMMING,’s 200m breaststroke,Silver,Women
United States,United States,USA,Summer,2024,Paris,SWIMMING,s 4x200 freestyle relay,Silver,Women
Torri Huske,United States,USA,Summer,2024,Paris,SWIMMING,’s 100m freestyle,Silver,Women
Anastasiia Kirpichnikova,France,FRA,Summer,2024,Paris,SWIMMING,’s 1500m freestyle,Silver,Women
Kyle Chalmers,Australia,ANZ,Summer,2024,Paris,SWIMMING,’s 100m freestyle,Silver,Men
Zac Stubblety-Cook,Australia,ANZ,Summer,2024,Paris,SWIMMING,’s 200m breaststroke,Silver,Men
Kristof Milak,Hungary,HUN,Summer,2024,Paris,SWIMMING,’s 200m butterfly,Silver,Men
Regan Smith,United States,USA,Summer,2024,Paris,SWIMMING,’s 100m backstroke,Silver,Women
Bobby Finke,United States,USA,Summer,2024,Paris,SWIMMING,’s 800m freestyle,Silver,Men
United States,United States,USA,Summer,2024,Paris,SWIMMING,’s 4x200m freestyle relay,Silver,Men
Tang Qianting,China,CHN,Summer,2024,Paris,SWIMMING,’s 100m breaststroke,Silver,Women
Ariarne Titmus,Australia,ANZ,Summer,2024,Paris,SWIMMING,’s 200m freestyle,Silver,Women
Katie Grimes,United States,USA,Summer,2024,Paris,SWIMMING,’s 400m individual medley,Silver,Women
Xu Jiayu,China,CHN,Summer,2024,Paris,SWIMMING,’s 100m backstroke,Silver,Men
Matthew Richards,Great Britain,GBR,Summer,2024,Paris,SWIMMING,’s 200m freestyle,Silver,Men
Tomoyuki Matsushita,Japan,JPN,Summer,2024,Paris,SWIMMING,’s 400m individual medley,Silver,Men
Gretchen Walsh,United States,USA,Summer,2024,Paris,SWIMMING,’s 100m butterfly,Silver,Women
Elijah Winnington,Australia,ANZ,Summer,2024,Paris,SWIMMING,’s 400m freestyle,Silver,Men
Australia,Australia,ANZ,Summer,2024,Paris,SWIMMING,’s 4x100m freestyle relay,Silver,Men
Summer McIntosh,Canada,CAN,Summer,2024,Paris,SWIMMING,’s 400m freestyle,Silver,Women
United States,United States,USA,Summer,2024,Paris,SWIMMING,’s 4x100m freestyle relay,Silver,Women
Zhang Yufei,China,CHN,Summer,2024,Paris,SWIMMING,’s 50m freestyle,Bronze,Women
China,China,CHN,Summer,2024,Paris,SWIMMING,’s 4x100m medley relay,Bronze,Women
Daniel Wiffen,Ireland,IRL,Summer,2024,Paris,SWIMMING,’s 1500m freestyle,Bronze,Men
France,France,FRA,Summer,2024,Paris,SWIMMING,’s 4x100m medley relay,Bronze,Men
Ilya Kharun,Canada,CAN,Summer,2024,Paris,SWIMMING,’s 100m butterfly,Bronze,Men
Australia,Australia,ANZ,Summer,2024,Paris,SWIMMING,4x100 medley relay,Bronze,Mixed
Kaylee McKeown,Australia,ANZ,Summer,2024,Paris,SWIMMING,’s 200m individual medley,Bronze,Women
Paige Madden,United States,USA,Summer,2024,Paris,SWIMMING,’s 800m freestyle,Bronze,Women
Wang Shun,China,CHN,Summer,2024,Paris,SWIMMING,’s 200m individual medley,Bronze,Men
Florent Manaudou,France,FRA,Summer,2024,Paris,SWIMMING,’s 50m freestyle,Bronze,Men
Kylie Masse,Canada,CAN,Summer,2024,Paris,SWIMMING,’s 200 backstroke,Bronze,Women
Roman Mityukov,Switzerland,SUI,Summer,2024,Paris,SWIMMING,’s 200m backstroke,Bronze,Men
Zhang Yufei,China,CHN,Summer,2024,Paris,SWIMMING,’s 200m butterfly,Bronze,Women
Tes Schouten,Netherlands,NED,Summer,2024,Paris,SWIMMING,’s 200m breaststroke,Bronze,Women
China,China,CHN,Summer,2024,Paris,SWIMMING,s 4x200 freestyle relay,Bronze,Women
Siobhan Haughey,Hong Kong,HKG,Summer,2024,Paris,SWIMMING,’s 100m freestyle,Bronze,Women
Isabel Gose,Germany,FRG,Summer,2024,Paris,SWIMMING,’s 1500m freestyle,Bronze,Women
David Popovici,Romania,ROU,Summer,2024,Paris,SWIMMING,’s 100m freestyle,Bronze,Men
Caspar Corbeau,Netherlands,NED,Summer,2024,Paris,SWIMMING,’s 200m breaststroke,Bronze,Men
Ilya Kharun,Canada,CAN,Summer,2024,Paris,SWIMMING,’s 200m butterfly,Bronze,Men
Katharine Berkoff,United States,USA,Summer,2024,Paris,SWIMMING,’s 100m backstroke,Bronze,Women
Gregorio Paltrinieri,Italy,ITA,Summer,2024,Paris,SWIMMING,’s 800m freestyle,Bronze,Men
Australia,Australia,ANZ,Summer,2024,Paris,SWIMMING,’s 4x200m freestyle relay,Bronze,Men
Mona McSharry,Ireland,IRL,Summer,2024,Paris,SWIMMING,’s 100m breaststroke,Bronze,Women
Siobhan Bernadette Haughey,Hong Kong,HKG,Summer,2024,Paris,SWIMMING,’s 200m freestyle,Bronze,Women
Emma Weyant,United States,USA,Summer,2024,Paris,SWIMMING,’s 400m individual medley,Bronze,Women
Ryan Murphy,United States,USA,Summer,2024,Paris,SWIMMING,’s 100m backstroke,Bronze,Men
Luke Hobson,United States,USA,Summer,2024,Paris,SWIMMING,’s 200m freestyle,Bronze,Men
Carson Foster,United States,USA,Summer,2024,Paris,SWIMMING,’s 400m individual medley,Bronze,Men
Zhang Yufei,China,CHN,Summer,2024,Paris,SWIMMING,’s 100m butterfly,Bronze,Women
Kim Woo-min,South Korea,KOR,Summer,2024,Paris,SWIMMING,’s 400m freestyle,Bronze,Men
Italy,Italy,ITA,Summer,2024,Paris,SWIMMING,’s 4x100m freestyle relay,Bronze,Men
Katie Ledecky,United States,USA,Summer,2024,Paris,SWIMMING,’s 400m freestyle,Bronze,Women
China,China,CHN,Summer,2024,Paris,SWIMMING,’s 4x100m freestyle relay,Bronze,Women
Nicolo Martinenghi,Italy,ITA,Summer,2024,Paris,SWIMMING,’s 100m breaststroke,Gold,Men
Nic Fink,United States,USA,Summer,2024,Paris,SWIMMING,’s 100m breaststroke,Silver,Men
Adam Peaty,Great Britain,GBR,Summer,2024,Paris,SWIMMING,’s 100m breaststroke,Silver,Men
Arvo Ossian Aaltonen,Finland,FIN,Summer,1920,Antwerpen,Swimming,200m breaststroke,Bronze,Men
Arvo Ossian Aaltonen,Finland,FIN,Summer,1920,Antwerpen,Swimming,400m breaststroke,Bronze,Men
Oszkr Abay-Nemes,Hungary,HUN,Summer,1936,Berlin,Swimming,4x200m freestyle relay,Bronze,Men
Reema Abdo,Canada,CAN,Summer,1984,Los Angeles,Swimming,4x100m medley relay,Bronze,Women
Moira Abernethy (-Ford),South Africa,RSA,Summer,1956,Melbourne,Swimming,4x100m freestyle relay,Bronze,Women
Viktor Andreyevich Aboimov,Soviet Union,URS,Summer,1972,Munich,Swimming,4x100m freestyle relay,Silver,Men
Viktor Andreyevich Aboimov,Soviet Union,URS,Summer,1972,Munich,Swimming,4x200m freestyle relay,Bronze,Men
"Matthew ""Matt"" Abood",Australia,AUS,Summer,2016,Rio de Janeiro,Swimming,4x100m freestyle relay,Bronze,Men
Gary Abraham,Great Britain,GBR,Summer,1980,Moskva,Swimming,4x100m medley relay,Bronze,Men
Edgar Holmes Adams,United States,USA,Summer,1904,St. Louis,Swimming,plunge for distance,Silver,Men
"Margarete ""Grete"" Adler",Austria,AUT,Summer,1912,Stockholm,Swimming,4x100m freestyle relay,Bronze,Women
"Rebecca ""Becky"" Adlington",Great Britain,GBR,Summer,2008,Beijing,Swimming,400m freestyle,Gold,Women
"Rebecca ""Becky"" Adlington",Great Britain,GBR,Summer,2008,Beijing,Swimming,800m freestyle,Gold,Women
"Rebecca ""Becky"" Adlington",Great Britain,GBR,Summer,2012,London,Swimming,400m freestyle,Bronze,Women
"Rebecca ""Becky"" Adlington",Great Britain,GBR,Summer,2012,London,Swimming,800m freestyle,Bronze,Women
Nathan Ghar-Jun Adrian,United States,USA,Summer,2008,Beijing,Swimming,4x100m freestyle relay,Gold,Men
Nathan Ghar-Jun Adrian,United States,USA,Summer,2012,London,Swimming,100m freestyle,Gold,Men
Nathan Ghar-Jun Adrian,United States,USA,Summer,2012,London,Swimming,4x100m freestyle relay,Silver,Men
Nathan Ghar-Jun Adrian,United States,USA,Summer,2012,London,Swimming,4x100m medley relay,Gold,Men
Nathan Ghar-Jun Adrian,United States,USA,Summer,2016,Rio de Janeiro,Swimming,50m freestyle,Bronze,Men
Nathan Ghar-Jun Adrian,United States,USA,Summer,2016,Rio de Janeiro,Swimming,100m freestyle,Bronze,Men
Nathan Ghar-Jun Adrian,United States,USA,Summer,2016,Rio de Janeiro,Swimming,4x100m freestyle relay,Gold,Men
Nathan Ghar-Jun Adrian,United States,USA,Summer,2016,Rio de Janeiro,Swimming,4x100m medley relay,Gold,Men
Yannick Agnel,France,FRA,Summer,2012,London,Swimming,200m freestyle,Gold,Men
Yannick Agnel,France,FRA,Summer,2012,London,Swimming,4x100m freestyle relay,Gold,Men
Yannick Agnel,France,FRA,Summer,2012,London,Swimming,4x200m freestyle relay,Silver,Men
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",United States,USA,Summer,1992,Barcelona,Swimming,4x100m freestyle relay,Gold,Women
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",United States,USA,Summer,1992,Barcelona,Swimming,100m butterfly,Silver,Women
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",United States,USA,Summer,1992,Barcelona,Swimming,4x100m medley relay,Gold,Women
Irina Anatolyevna Aksyonova,Soviet Union,URS,Summer,1980,Moskva,Swimming,4x100m medley relay,Bronze,Women
"Joan ""Jody"" Alderson (-Braskamp)",United States,USA,Summer,1952,Helsinki,Swimming,4x100m freestyle relay,Bronze,Women
Lynne Marie Allsup (-Olson),United States,USA,Summer,1964,Tokyo,Swimming,4x100m freestyle relay,Gold,Women
Malin Therse Alshammar,Sweden,SWE,Summer,2000,Sydney,Swimming,50m freestyle,Silver,Women
Malin Therse Alshammar,Sweden,SWE,Summer,2000,Sydney,Swimming,100m freestyle,Silver,Women
Malin Therse Alshammar,Sweden,SWE,Summer,2000,Sydney,Swimming,4x100m freestyle relay,Bronze,Women
Gail Amundrud (-Beattie),Canada,CAN,Summer,1976,Montreal,Swimming,4x100m freestyle relay,Bronze,Women
"Greta Marie Andersen (-Sonnichsen, -Veress)",Denmark,DEN,Summer,1948,London,Swimming,100m freestyle,Gold,Women
"Greta Marie Andersen (-Sonnichsen, -Veress)",Denmark,DEN,Summer,1948,London,Swimming,4x100m freestyle relay,Silver,Women
Alyssa Jean Anderson,United States,USA,Summer,2012,London,Swimming,4x200m freestyle relay,Gold,Women
Haley Danita Anderson,United States,USA,Summer,2012,London,Swimming,10 kilom open water,Silver,Women
Ioannis Andreou,Greece,GRE,Summer,1896,Athina,Swimming,1200m freestyle,Silver,Men
"Janice ""Jan"" Andrew (-Thornett)",Australia,AUS,Summer,1960,Roma,Swimming,100m butterfly,Bronze,Women
"Janice ""Jan"" Andrew (-Thornett)",Australia,AUS,Summer,1960,Roma,Swimming,4x100m medley relay,Silver,Women
Theresa Andrews,United States,USA,Summer,1984,Los Angeles,Swimming,100m backstroke,Gold,Women
Theresa Andrews,United States,USA,Summer,1984,Los Angeles,Swimming,4x100m medley relay,Gold,Women
Hannelore Anke (-Hofmann),East Germany,GDR,Summer,1976,Montreal,Swimming,100m breaststroke,Gold,Women
Hannelore Anke (-Hofmann),East Germany,GDR,Summer,1976,Montreal,Swimming,4x100m medley relay,Gold,Women
Harold Edward Annison,Great Britain,GBR,Summer,1920,Antwerpen,Swimming,4x200m freestyle relay,Bronze,Men
Mayumi Aoki (-Nishiguti),Japan,JPN,Summer,1972,Munich,Swimming,100m butterfly,Gold,Women
Nobuo Arai,Japan,JPN,Summer,1928,Amsterdam,Swimming,4x200m freestyle relay,Silver,Men
Shigeo Arai,Japan,JPN,Summer,1936,Berlin,Swimming,100m freestyle,Bronze,Men
Shigeo Arai,Japan,JPN,Summer,1936,Berlin,Swimming,4x200m freestyle relay,Gold,Men
Duncan John D'Arcy Armstrong,Australia,AUS,Summer,1988,Seoul,Swimming,200m freestyle,Gold,Men
Duncan John D'Arcy Armstrong,Australia,AUS,Summer,1988,Seoul,Swimming,400m freestyle,Silver,Men
Eva Johanne Arndt-Riise,Denmark,DEN,Summer,1948,London,Swimming,4x100m freestyle relay,Silver,Women
"Samantha ""Sam"" Arsenault (-Livingstone)",United States,USA,Summer,2000,Sydney,Swimming,4x200m freestyle relay,Gold,Women
Pr Johan Arvidsson,Sweden,SWE,Summer,1980,Moskva,Swimming,100m butterfly,Gold,Men
Jessica Ashwood,Australia,AUS,Summer,2016,Rio de Janeiro,Swimming,4x200m freestyle relay,Silver,Women
"Andrew ""Andy"" Astbury",Great Britain,GBR,Summer,1984,Los Angeles,Swimming,4x200m freestyle relay,Bronze,Men
