Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal,Category
Caeleb Dressel,United States,USA,Summer,2020,Tokyo,Swimming,50M Freestyle ,Gold,Men
Florent Manaudou,France,FRA,Summer,2020,Tokyo,Swimming,50M Freestyle ,Silver,Men
Bruno Fratus,Brazil,BRA,Summer,2020,Tokyo,Swimming,50M Freestyle ,Bronze,Men
Caeleb Dressel,United States,USA,Summer,2020,Tokyo,Swimming,100M Freestyle ,Gold,Men
Kyle Chalmers,Australia,AUS,Summer,2020,Tokyo,Swimming,100M Freestyle ,Silver,Men
Kliment Kolesnikov,Russia,ROC,Summer,2020,Tokyo,Swimming,100M Freestyle ,Bronze,Men
Tom Dean,Uk,GBR,Summer,2020,Tokyo,Swimming,200M Freestyle ,Gold,Men
Duncan Scott,Uk,GBR,Summer,2020,Tokyo,Swimming,200M Freestyle ,Silver,Men
Fernando Scheffer,Brazil,BRA,Summer,2020,Tokyo,Swimming,200M Freestyle ,Bronze,Men
Ahmed Hafnaoui,Tunisia,TUN,Summer,2020,Tokyo,Swimming,400M Freestyle ,Gold,Men
Jack Mcloughlin,Australia,AUS,Summer,2020,Tokyo,Swimming,400M Freestyle ,Silver,Men
Kieran Smith,United States,USA,Summer,2020,Tokyo,Swimming,400M Freestyle ,Bronze,Men
Bobby Finke,United States,USA,Summer,2020,Tokyo,Swimming,800M Freestyle ,Gold,Men
Gregorio Paltrinieri,Italy,ITA,Summer,2020,Tokyo,Swimming,800M Freestyle ,Silver,Men
Mykhailo Romanchuk,Ukraine,UKR,Summer,2020,Tokyo,Swimming,800M Freestyle ,Bronze,Men
Bobby Finke,United States,USA,Summer,2020,Tokyo,Swimming,1500M Freestyle ,Gold,Men
Mykhailo Romanchuk,Ukraine,UKR,Summer,2020,Tokyo,Swimming,1500M Freestyle ,Silver,Men
Florian Wellbrock,Germany,GER,Summer,2020,Tokyo,Swimming,1500M Freestyle ,Bronze,Men
United States,United States,USA,Summer,2020,Tokyo,Swimming,4X100M Freestyle Relay ,Gold,Men
Italy,Italy,ITA,Summer,2020,Tokyo,Swimming,4X100M Freestyle Relay ,Silver,Men
Australia,Australia,AUS,Summer,2020,Tokyo,Swimming,4X100M Freestyle Relay ,Bronze,Men
Uk,Uk,GBR,Summer,2020,Tokyo,Swimming,4X200M Freestyle Relay ,Gold,Men
Russia,Russia,ROC,Summer,2020,Tokyo,Swimming,4X200M Freestyle Relay ,Silver,Men
Australia,Australia,AUS,Summer,2020,Tokyo,Swimming,4X200M Freestyle Relay ,Bronze,Men
Yevgeny Rylov,Russia,ROC,Summer,2020,Tokyo,Swimming,100M Backstroke ,Gold,Men
Kliment Kolesnikov,Russia,ROC,Summer,2020,Tokyo,Swimming,100M Backstroke ,Silver,Men
Ryan Murphy,United States,USA,Summer,2020,Tokyo,Swimming,100M Backstroke ,Bronze,Men
Yevgeny Rylov,Russia,ROC,Summer,2020,Tokyo,Swimming,200M Backstroke ,Gold,Men
Ryan Murphy,United States,USA,Summer,2020,Tokyo,Swimming,200M Backstroke ,Silver,Men
Luke Greenbank,Uk,GBR,Summer,2020,Tokyo,Swimming,200M Backstroke ,Bronze,Men
Adam Peaty,Uk,GBR,Summer,2020,Tokyo,Swimming,100M Breaststroke ,Gold,Men
Arno Kamminga,Netherlands,NED,Summer,2020,Tokyo,Swimming,100M Breaststroke ,Silver,Men
Nicolò Martinenghi,Italy,ITA,Summer,2020,Tokyo,Swimming,100M Breaststroke ,Bronze,Men
Zac Stubblety-Cook,Australia,AUS,Summer,2020,Tokyo,Swimming,200M Breaststroke ,Gold,Men
Arno Kamminga,Netherlands,NED,Summer,2020,Tokyo,Swimming,200M Breaststroke ,Silver,Men
Matti Mattsson,Finland,FIN,Summer,2020,Tokyo,Swimming,200M Breaststroke ,Bronze,Men
Caeleb Dressel,United States,USA,Summer,2020,Tokyo,Swimming,100M Butterfly ,Gold,Men
Kristóf Milák,Hungary,HUN,Summer,2020,Tokyo,Swimming,100M Butterfly ,Silver,Men
Noè Ponti,Switzerland,SUI,Summer,2020,Tokyo,Swimming,100M Butterfly ,Bronze,Men
Kristóf Milák,Hungary,HUN,Summer,2020,Tokyo,Swimming,200M Butterfly ,Gold,Men
Tomoru Honda,Japan,JPN,Summer,2020,Tokyo,Swimming,200M Butterfly ,Silver,Men
Federico Burdisso,Italy,ITA,Summer,2020,Tokyo,Swimming,200M Butterfly ,Bronze,Men
Wang Shun,China,CHN,Summer,2020,Tokyo,Swimming,200M Individual Medley ,Gold,Men
Duncan Scott,Uk,GBR,Summer,2020,Tokyo,Swimming,200M Individual Medley ,Silver,Men
Jérémy Desplanches,Switzerland,SUI,Summer,2020,Tokyo,Swimming,200M Individual Medley ,Bronze,Men
Chase Kalisz,United States,USA,Summer,2020,Tokyo,Swimming,400M Individual Medley ,Gold,Men
Jay Litherland,United States,USA,Summer,2020,Tokyo,Swimming,400M Individual Medley ,Silver,Men
Brendon Smith,Australia,AUS,Summer,2020,Tokyo,Swimming,400M Individual Medley ,Bronze,Men
United States,United States,USA,Summer,2020,Tokyo,Swimming,4X100M Medley Relay ,Gold,Men
Uk,Uk,GBR,Summer,2020,Tokyo,Swimming,4X100M Medley Relay ,Silver,Men
Italy,Italy,ITA,Summer,2020,Tokyo,Swimming,4X100M Medley Relay ,Bronze,Men
Emma Mckeon,Australia,AUS,Summer,2020,Tokyo,Swimming,50M Freestyle ,Gold,Women
Sarah Sjöström,Sweden,SWE,Summer,2020,Tokyo,Swimming,50M Freestyle ,Silver,Women
Pernille Blume,Denmark,DEN,Summer,2020,Tokyo,Swimming,50M Freestyle ,Bronze,Women
Emma Mckeon,Australia,AUS,Summer,2020,Tokyo,Swimming,100M Freestyle ,Gold,Women
Siobhán Haughey,Hong Kong,HKG,Summer,2020,Tokyo,Swimming,100M Freestyle ,Silver,Women
Cate Campbell,Australia,AUS,Summer,2020,Tokyo,Swimming,100M Freestyle ,Bronze,Women
Ariarne Titmus,Australia,AUS,Summer,2020,Tokyo,Swimming,200M Freestyle ,Gold,Women
Siobhán Haughey,Hong Kong,HKG,Summer,2020,Tokyo,Swimming,200M Freestyle ,Silver,Women
Penny Oleksiak,Canada,CAN,Summer,2020,Tokyo,Swimming,200M Freestyle ,Bronze,Women
Ariarne Titmus,Australia,AUS,Summer,2020,Tokyo,Swimming,400M Freestyle ,Gold,Women
Katie Ledecky,United States,USA,Summer,2020,Tokyo,Swimming,400M Freestyle ,Silver,Women
Li Bingjie,China,CHN,Summer,2020,Tokyo,Swimming,400M Freestyle ,Bronze,Women
Katie Ledecky,United States,USA,Summer,2020,Tokyo,Swimming,800M Freestyle ,Gold,Women
Ariarne Titmus,Australia,AUS,Summer,2020,Tokyo,Swimming,800M Freestyle ,Silver,Women
Simona Quadarella,Italy,ITA,Summer,2020,Tokyo,Swimming,800M Freestyle ,Bronze,Women
Katie Ledecky,United States,USA,Summer,2020,Tokyo,Swimming,1500M Freestyle ,Gold,Women
Erica Sullivan,United States,USA,Summer,2020,Tokyo,Swimming,1500M Freestyle ,Silver,Women
Sarah Köhler,Germany,GER,Summer,2020,Tokyo,Swimming,1500M Freestyle ,Bronze,Women
Australia,Australia,AUS,Summer,2020,Tokyo,Swimming,4X100M Freestyle Relay ,Gold,Women
Canada,Canada,CAN,Summer,2020,Tokyo,Swimming,4X100M Freestyle Relay ,Silver,Women
United States,United States,USA,Summer,2020,Tokyo,Swimming,4X100M Freestyle Relay ,Bronze,Women
China,China,CHN,Summer,2020,Tokyo,Swimming,4X200M Freestyle Relay ,Gold,Women
United States,United States,USA,Summer,2020,Tokyo,Swimming,4X200M Freestyle Relay ,Silver,Women
Australia,Australia,AUS,Summer,2020,Tokyo,Swimming,4X200M Freestyle Relay ,Bronze,Women
Kaylee Mckeown,Australia,AUS,Summer,2020,Tokyo,Swimming,100M Backstroke ,Gold,Women
Kylie Masse,Canada,CAN,Summer,2020,Tokyo,Swimming,100M Backstroke ,Silver,Women
Regan Smith,United States,USA,Summer,2020,Tokyo,Swimming,100M Backstroke ,Bronze,Women
Kaylee Mckeown,Australia,AUS,Summer,2020,Tokyo,Swimming,200M Backstroke ,Gold,Women
Kylie Masse,Canada,CAN,Summer,2020,Tokyo,Swimming,200M Backstroke ,Silver,Women
Emily Seebohm,Australia,AUS,Summer,2020,Tokyo,Swimming,200M Backstroke ,Bronze,Women
Lydia Jacoby,United States,USA,Summer,2020,Tokyo,Swimming,100M Breaststroke ,Gold,Women
Tatjana Schoenmaker,South Africa,RSA,Summer,2020,Tokyo,Swimming,100M Breaststroke ,Silver,Women
Lilly King,United States,USA,Summer,2020,Tokyo,Swimming,100M Breaststroke ,Bronze,Women
Tatjana Schoenmaker,South Africa,RSA,Summer,2020,Tokyo,Swimming,200M Breaststroke ,Gold,Women
Lilly King,United States,USA,Summer,2020,Tokyo,Swimming,200M Breaststroke ,Silver,Women
Annie Lazor,United States,USA,Summer,2020,Tokyo,Swimming,200M Breaststroke ,Bronze,Women
Maggie Mac Neil,Canada,CAN,Summer,2020,Tokyo,Swimming,100M Butterfly ,Gold,Women
Zhang Yufei,China,CHN,Summer,2020,Tokyo,Swimming,100M Butterfly ,Silver,Women
Emma Mckeon,Australia,AUS,Summer,2020,Tokyo,Swimming,100M Butterfly ,Bronze,Women
Zhang Yufei,China,CHN,Summer,2020,Tokyo,Swimming,200M Butterfly ,Gold,Women
Regan Smith,United States,USA,Summer,2020,Tokyo,Swimming,200M Butterfly ,Silver,Women
Hali Flickinger,United States,USA,Summer,2020,Tokyo,Swimming,200M Butterfly ,Bronze,Women
Yui Ohashi,Japan,JPN,Summer,2020,Tokyo,Swimming,200M Individual Medley ,Gold,Women
Alex Walsh,United States,USA,Summer,2020,Tokyo,Swimming,200M Individual Medley ,Silver,Women
Kate Douglass,United States,USA,Summer,2020,Tokyo,Swimming,200M Individual Medley ,Bronze,Women
Yui Ohashi,Japan,JPN,Summer,2020,Tokyo,Swimming,400M Individual Medley ,Gold,Women
Emma Weyant,United States,USA,Summer,2020,Tokyo,Swimming,400M Individual Medley ,Silver,Women
Hali Flickinger,United States,USA,Summer,2020,Tokyo,Swimming,400M Individual Medley ,Bronze,Women
Australia,Australia,AUS,Summer,2020,Tokyo,Swimming,4X100M Medley Relay ,Gold,Women
United States,United States,USA,Summer,2020,Tokyo,Swimming,4X100M Medley Relay ,Silver,Women
Canada,Canada,CAN,Summer,2020,Tokyo,Swimming,4X100M Medley Relay ,Bronze,Women
Uk,Uk,GBR,Summer,2020,Tokyo,Swimming,4X100M Medley Relay ,Gold,Mixed
China,China,CHN,Summer,2020,Tokyo,Swimming,4X100M Medley Relay ,Silver,Mixed
Australia,Australia,AUS,Summer,2020,Tokyo,Swimming,4X100M Medley Relay ,Bronze,Mixed
Sarah Sjöström,Sweden,SWE,Summer,2024,Paris,Swimming,50M Freestyle,Gold,Women
United States,United States,USA,Summer,2024,Paris,Swimming,4X100M Medley Relay,Gold,Women
Bobby Finke,United States,USA,Summer,2024,Paris,Swimming,1500M Freestyle,Gold,Men
China,China,CHN,Summer,2024,Paris,Swimming,4X100M Medley Relay,Gold,Men
Kristof Milak,Hungary,HUN,Summer,2024,Paris,Swimming,100M Butterfly,Gold,Men
United States,United States,USA,Summer,2024,Paris,Swimming, 4X100M Medley Relay,Gold,Mixed
Summer Mcintosh,Canada,CAN,Summer,2024,Paris,Swimming,200M Individual Medley,Gold,Women
Katie Ledecky,United States,USA,Summer,2024,Paris,Swimming,800M Freestyle,Gold,Women
Léon Marchand,France,FRA,Summer,2024,Paris,Swimming,200M Individual Medley,Gold,Men
Cameron Mcevoy,Australia,ANZ,Summer,2024,Paris,Swimming,50M Freestyle,Gold,Men
Kaylee Mckeown,Australia,ANZ,Summer,2024,Paris,Swimming,200M Backstroke,Gold,Women
Hubert Kos,Hungary,HUN,Summer,2024,Paris,Swimming,200M Backstroke,Gold,Men
Summer Mcintosh,Canada,CAN,Summer,2024,Paris,Swimming,200M Butterfly,Gold,Women
Kate Douglass,United States,USA,Summer,2024,Paris,Swimming,200M Breaststroke,Gold,Women
Australia,Australia,ANZ,Summer,2024,Paris,Swimming,4X200M Freestyle Relay,Gold,Women
Sarah Sjoestroem,Sweden,SWE,Summer,2024,Paris,Swimming,100M Freestyle,Gold,Women
Katie Ledecky,United States,USA,Summer,2024,Paris,Swimming,1500M Freestyle,Gold,Women
Pan Zhanle,China,CHN,Summer,2024,Paris,Swimming,100M Freestyle,Gold,Men
Léon Marchand,France,FRA,Summer,2024,Paris,Swimming,200M Breaststroke,Gold,Men
Léon Marchand,France,FRA,Summer,2024,Paris,Swimming,200M Butterfly,Gold,Men
Kaylee Mckeown,Australia,ANZ,Summer,2024,Paris,Swimming,100M Backstroke,Gold,Women
Daniel Wiffen,Ireland,IRL,Summer,2024,Paris,Swimming,800M Freestyle,Gold,Men
Britain,Great Britain,GBR,Summer,2024,Paris,Swimming,4X200M Freestyle Relay,Gold,Men
Tatjana Smith,South Africa,RSA,Summer,2024,Paris,Swimming,100M Breaststroke,Gold,Women
Mollie O’Callaghan,Australia,ANZ,Summer,2024,Paris,Swimming,200M Freestyle,Gold,Women
Summer Mcintosh,Canada,CAN,Summer,2024,Paris,Swimming,400M Individual Medley,Gold,Women
Thomas Ceccon,Italy,ITA,Summer,2024,Paris,Swimming,100M Backstroke,Gold,Men
David Popovici,Romania,ROU,Summer,2024,Paris,Swimming,200M Freestyle,Gold,Men
Léon Marchand,France,FRA,Summer,2024,Paris,Swimming,400M Individual Medley,Gold,Men
Torri Huske,United States,USA,Summer,2024,Paris,Swimming,100M Butterfly,Gold,Women
Lukas Maertens,Germany,FRG,Summer,2024,Paris,Swimming,400M Freestyle,Gold,Men
United States,United States,USA,Summer,2024,Paris,Swimming,4X100M Freestyle Relay,Gold,Men
Ariarne Titmus,Australia,ANZ,Summer,2024,Paris,Swimming,400M Freestyle,Gold,Women
Australia,Australia,ANZ,Summer,2024,Paris,Swimming,4X100M Freestyle Relay,Gold,Women
Meg Harris,Australia,ANZ,Summer,2024,Paris,Swimming,50M Freestyle,Silver,Women
Australia,Australia,ANZ,Summer,2024,Paris,Swimming,4X100M Medley Relay,Silver,Women
Gregorio Paltrinieri,Italy,ITA,Summer,2024,Paris,Swimming,1500M Freestyle,Silver,Men
United States,United States,USA,Summer,2024,Paris,Swimming,4X100M Medley Relay,Silver,Men
Josh Liendo,Canada,CAN,Summer,2024,Paris,Swimming,100M Butterfly,Silver,Men
China,China,CHN,Summer,2024,Paris,Swimming, 4X100M Medley Relay,Silver,Mixed
Kate Douglass,United States,USA,Summer,2024,Paris,Swimming,200M Individual Medley,Silver,Women
Ariarne Titmus,Australia,ANZ,Summer,2024,Paris,Swimming,800M Freestyle,Silver,Women
Duncan Scott,Great Britain,GBR,Summer,2024,Paris,Swimming,200M Individual Medley,Silver,Men
Benjamin Proud,Great Britain,GBR,Summer,2024,Paris,Swimming,50M Freestyle,Silver,Men
Regan Smith,United States,USA,Summer,2024,Paris,Swimming,200M Backstroke,Silver,Women
Apostolos Christou,Greece,CRT,Summer,2024,Paris,Swimming,200M Backstroke,Silver,Men
Regan Smith,United States,USA,Summer,2024,Paris,Swimming,200M Butterfly,Silver,Women
Tatjana Smith,South Africa,RSA,Summer,2024,Paris,Swimming,200M Breaststroke,Silver,Women
United States,United States,USA,Summer,2024,Paris,Swimming,4X200M Freestyle Relay,Silver,Women
Torri Huske,United States,USA,Summer,2024,Paris,Swimming,100M Freestyle,Silver,Women
Anastasiia Kirpichnikova,France,FRA,Summer,2024,Paris,Swimming,1500M Freestyle,Silver,Women
Kyle Chalmers,Australia,ANZ,Summer,2024,Paris,Swimming,100M Freestyle,Silver,Men
Zac Stubblety-Cook,Australia,ANZ,Summer,2024,Paris,Swimming,200M Breaststroke,Silver,Men
Kristof Milak,Hungary,HUN,Summer,2024,Paris,Swimming,200M Butterfly,Silver,Men
Regan Smith,United States,USA,Summer,2024,Paris,Swimming,100M Backstroke,Silver,Women
Bobby Finke,United States,USA,Summer,2024,Paris,Swimming,800M Freestyle,Silver,Men
United States,United States,USA,Summer,2024,Paris,Swimming,4X200M Freestyle Relay,Silver,Men
Tang Qianting,China,CHN,Summer,2024,Paris,Swimming,100M Breaststroke,Silver,Women
Ariarne Titmus,Australia,ANZ,Summer,2024,Paris,Swimming,200M Freestyle,Silver,Women
Katie Grimes,United States,USA,Summer,2024,Paris,Swimming,400M Individual Medley,Silver,Women
Xu Jiayu,China,CHN,Summer,2024,Paris,Swimming,100M Backstroke,Silver,Men
Matthew Richards,Great Britain,GBR,Summer,2024,Paris,Swimming,200M Freestyle,Silver,Men
Tomoyuki Matsushita,Japan,JPN,Summer,2024,Paris,Swimming,400M Individual Medley,Silver,Men
Gretchen Walsh,United States,USA,Summer,2024,Paris,Swimming,100M Butterfly,Silver,Women
Elijah Winnington,Australia,ANZ,Summer,2024,Paris,Swimming,400M Freestyle,Silver,Men
Australia,Australia,ANZ,Summer,2024,Paris,Swimming,4X100M Freestyle Relay,Silver,Men
Summer Mcintosh,Canada,CAN,Summer,2024,Paris,Swimming,400M Freestyle,Silver,Women
United States,United States,USA,Summer,2024,Paris,Swimming,4X100M Freestyle Relay,Silver,Women
Zhang Yufei,China,CHN,Summer,2024,Paris,Swimming,50M Freestyle,Bronze,Women
China,China,CHN,Summer,2024,Paris,Swimming,4X100M Medley Relay,Bronze,Women
Daniel Wiffen,Ireland,IRL,Summer,2024,Paris,Swimming,1500M Freestyle,Bronze,Men
France,France,FRA,Summer,2024,Paris,Swimming,4X100M Medley Relay,Bronze,Men
Ilya Kharun,Canada,CAN,Summer,2024,Paris,Swimming,100M Butterfly,Bronze,Men
Australia,Australia,ANZ,Summer,2024,Paris,Swimming, 4X100M Medley Relay,Bronze,Mixed
Kaylee Mckeown,Australia,ANZ,Summer,2024,Paris,Swimming,200M Individual Medley,Bronze,Women
Paige Madden,United States,USA,Summer,2024,Paris,Swimming,800M Freestyle,Bronze,Women
Wang Shun,China,CHN,Summer,2024,Paris,Swimming,200M Individual Medley,Bronze,Men
Florent Manaudou,France,FRA,Summer,2024,Paris,Swimming,50M Freestyle,Bronze,Men
Kylie Masse,Canada,CAN,Summer,2024,Paris,Swimming,200M Backstroke,Bronze,Women
Roman Mityukov,Switzerland,SUI,Summer,2024,Paris,Swimming,200M Backstroke,Bronze,Men
Zhang Yufei,China,CHN,Summer,2024,Paris,Swimming,200M Butterfly,Bronze,Women
Tes Schouten,Netherlands,NED,Summer,2024,Paris,Swimming,200M Breaststroke,Bronze,Women
China,China,CHN,Summer,2024,Paris,Swimming,4X200M Freestyle Relay,Bronze,Women
Siobhan Haughey,Hong Kong,HKG,Summer,2024,Paris,Swimming,100M Freestyle,Bronze,Women
Isabel Gose,Germany,FRG,Summer,2024,Paris,Swimming,1500M Freestyle,Bronze,Women
David Popovici,Romania,ROU,Summer,2024,Paris,Swimming,100M Freestyle,Bronze,Men
Caspar Corbeau,Netherlands,NED,Summer,2024,Paris,Swimming,200M Breaststroke,Bronze,Men
Ilya Kharun,Canada,CAN,Summer,2024,Paris,Swimming,200M Butterfly,Bronze,Men
Katharine Berkoff,United States,USA,Summer,2024,Paris,Swimming,100M Backstroke,Bronze,Women
Gregorio Paltrinieri,Italy,ITA,Summer,2024,Paris,Swimming,800M Freestyle,Bronze,Men
Australia,Australia,ANZ,Summer,2024,Paris,Swimming,4X200M Freestyle Relay,Bronze,Men
Mona Mcsharry,Ireland,IRL,Summer,2024,Paris,Swimming,100M Breaststroke,Bronze,Women
Siobhan Bernadette Haughey,Hong Kong,HKG,Summer,2024,Paris,Swimming,200M Freestyle,Bronze,Women
Emma Weyant,United States,USA,Summer,2024,Paris,Swimming,400M Individual Medley,Bronze,Women
Ryan Murphy,United States,USA,Summer,2024,Paris,Swimming,100M Backstroke,Bronze,Men
Luke Hobson,United States,USA,Summer,2024,Paris,Swimming,200M Freestyle,Bronze,Men
Carson Foster,United States,USA,Summer,2024,Paris,Swimming,400M Individual Medley,Bronze,Men
Zhang Yufei,China,CHN,Summer,2024,Paris,Swimming,100M Butterfly,Bronze,Women
Kim Woo-Min,South Korea,KOR,Summer,2024,Paris,Swimming,400M Freestyle,Bronze,Men
Italy,Italy,ITA,Summer,2024,Paris,Swimming,4X100M Freestyle Relay,Bronze,Men
Katie Ledecky,United States,USA,Summer,2024,Paris,Swimming,400M Freestyle,Bronze,Women
China,China,CHN,Summer,2024,Paris,Swimming,4X100M Freestyle Relay,Bronze,Women
Nicolo Martinenghi,Italy,ITA,Summer,2024,Paris,Swimming,100M Breaststroke,Gold,Men
Nic Fink,United States,USA,Summer,2024,Paris,Swimming,100M Breaststroke,Silver,Men
Adam Peaty,Great Britain,GBR,Summer,2024,Paris,Swimming,100M Breaststroke,Silver,Men
Arvo Ossian Aaltonen,Finland,FIN,Summer,1920,Antwerpen,Swimming,200M Breaststroke,Bronze,Men
Arvo Ossian Aaltonen,Finland,FIN,Summer,1920,Antwerpen,Swimming,400M Breaststroke,Bronze,Men
Oszkr Abay-Nemes,Hungary,HUN,Summer,1936,Berlin,Swimming,4X200M Freestyle Relay,Bronze,Men
Reema Abdo,Canada,CAN,Summer,1984,Los Angeles,Swimming,4X100M Medley Relay,Bronze,Women
Moira Abernethy (-Ford),South Africa,RSA,Summer,1956,Melbourne,Swimming,4X100M Freestyle Relay,Bronze,Women
Viktor Andreyevich Aboimov,Soviet Union,URS,Summer,1972,Munich,Swimming,4X100M Freestyle Relay,Silver,Men
Viktor Andreyevich Aboimov,Soviet Union,URS,Summer,1972,Munich,Swimming,4X200M Freestyle Relay,Bronze,Men
"Matthew ""Matt"" Abood",Australia,AUS,Summer,2016,Rio De Janeiro,Swimming,4X100M Freestyle Relay,Bronze,Men
Gary Abraham,Great Britain,GBR,Summer,1980,Moskva,Swimming,4X100M Medley Relay,Bronze,Men
Edgar Holmes Adams,United States,USA,Summer,1904,St. Louis,Swimming,Plunge For Distance,Silver,Men
"Margarete ""Grete"" Adler",Austria,AUT,Summer,1912,Stockholm,Swimming,4X100M Freestyle Relay,Bronze,Women
"Rebecca ""Becky"" Adlington",Great Britain,GBR,Summer,2008,Beijing,Swimming,400M Freestyle,Gold,Women
"Rebecca ""Becky"" Adlington",Great Britain,GBR,Summer,2008,Beijing,Swimming,800M Freestyle,Gold,Women
"Rebecca ""Becky"" Adlington",Great Britain,GBR,Summer,2012,London,Swimming,400M Freestyle,Bronze,Women
"Rebecca ""Becky"" Adlington",Great Britain,GBR,Summer,2012,London,Swimming,800M Freestyle,Bronze,Women
Nathan Ghar-Jun Adrian,United States,USA,Summer,2008,Beijing,Swimming,4X100M Freestyle Relay,Gold,Men
Nathan Ghar-Jun Adrian,United States,USA,Summer,2012,London,Swimming,100M Freestyle,Gold,Men
Nathan Ghar-Jun Adrian,United States,USA,Summer,2012,London,Swimming,4X100M Freestyle Relay,Silver,Men
Nathan Ghar-Jun Adrian,United States,USA,Summer,2012,London,Swimming,4X100M Medley Relay,Gold,Men
Nathan Ghar-Jun Adrian,United States,USA,Summer,2016,Rio De Janeiro,Swimming,50M Freestyle,Bronze,Men
Nathan Ghar-Jun Adrian,United States,USA,Summer,2016,Rio De Janeiro,Swimming,100M Freestyle,Bronze,Men
Nathan Ghar-Jun Adrian,United States,USA,Summer,2016,Rio De Janeiro,Swimming,4X100M Freestyle Relay,Gold,Men
Nathan Ghar-Jun Adrian,United States,USA,Summer,2016,Rio De Janeiro,Swimming,4X100M Medley Relay,Gold,Men
Yannick Agnel,France,FRA,Summer,2012,London,Swimming,200M Freestyle,Gold,Men
Yannick Agnel,France,FRA,Summer,2012,London,Swimming,4X100M Freestyle Relay,Gold,Men
Yannick Agnel,France,FRA,Summer,2012,London,Swimming,4X200M Freestyle Relay,Silver,Men
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",United States,USA,Summer,1992,Barcelona,Swimming,4X100M Freestyle Relay,Gold,Women
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",United States,USA,Summer,1992,Barcelona,Swimming,100M Butterfly,Silver,Women
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",United States,USA,Summer,1992,Barcelona,Swimming,4X100M Medley Relay,Gold,Women
Irina Anatolyevna Aksyonova,Soviet Union,URS,Summer,1980,Moskva,Swimming,4X100M Medley Relay,Bronze,Women
"Joan ""Jody"" Alderson (-Braskamp)",United States,USA,Summer,1952,Helsinki,Swimming,4X100M Freestyle Relay,Bronze,Women
Lynne Marie Allsup (-Olson),United States,USA,Summer,1964,Tokyo,Swimming,4X100M Freestyle Relay,Gold,Women
Malin Therse Alshammar,Sweden,SWE,Summer,2000,Sydney,Swimming,50M Freestyle,Silver,Women
Malin Therse Alshammar,Sweden,SWE,Summer,2000,Sydney,Swimming,100M Freestyle,Silver,Women
Malin Therse Alshammar,Sweden,SWE,Summer,2000,Sydney,Swimming,4X100M Freestyle Relay,Bronze,Women
Gail Amundrud (-Beattie),Canada,CAN,Summer,1976,Montreal,Swimming,4X100M Freestyle Relay,Bronze,Women
"Greta Marie Andersen (-Sonnichsen, -Veress)",Denmark,DEN,Summer,1948,London,Swimming,100M Freestyle,Gold,Women
"Greta Marie Andersen (-Sonnichsen, -Veress)",Denmark,DEN,Summer,1948,London,Swimming,4X100M Freestyle Relay,Silver,Women
Alyssa Jean Anderson,United States,USA,Summer,2012,London,Swimming,4X200M Freestyle Relay,Gold,Women
Haley Danita Anderson,United States,USA,Summer,2012,London,Swimming,10Km Open Water,Silver,Women
Ioannis Andreou,Greece,GRE,Summer,1896,Athina,Swimming,1200M Freestyle,Silver,Men
"Janice ""Jan"" Andrew (-Thornett)",Australia,AUS,Summer,1960,Roma,Swimming,100M Butterfly,Bronze,Women
"Janice ""Jan"" Andrew (-Thornett)",Australia,AUS,Summer,1960,Roma,Swimming,4X100M Medley Relay,Silver,Women
Theresa Andrews,United States,USA,Summer,1984,Los Angeles,Swimming,100M Backstroke,Gold,Women
Theresa Andrews,United States,USA,Summer,1984,Los Angeles,Swimming,4X100M Medley Relay,Gold,Women
Hannelore Anke (-Hofmann),East Germany,GDR,Summer,1976,Montreal,Swimming,100M Breaststroke,Gold,Women
Hannelore Anke (-Hofmann),East Germany,GDR,Summer,1976,Montreal,Swimming,4X100M Medley Relay,Gold,Women
Harold Edward Annison,Great Britain,GBR,Summer,1920,Antwerpen,Swimming,4X200M Freestyle Relay,Bronze,Men
Mayumi Aoki (-Nishiguti),Japan,JPN,Summer,1972,Munich,Swimming,100M Butterfly,Gold,Women
Nobuo Arai,Japan,JPN,Summer,1928,Amsterdam,Swimming,4X200M Freestyle Relay,Silver,Men
Shigeo Arai,Japan,JPN,Summer,1936,Berlin,Swimming,100M Freestyle,Bronze,Men
Shigeo Arai,Japan,JPN,Summer,1936,Berlin,Swimming,4X200M Freestyle Relay,Gold,Men
Duncan John D'Arcy Armstrong,Australia,AUS,Summer,1988,Seoul,Swimming,200M Freestyle,Gold,Men
Duncan John D'Arcy Armstrong,Australia,AUS,Summer,1988,Seoul,Swimming,400M Freestyle,Silver,Men
Eva Johanne Arndt-Riise,Denmark,DEN,Summer,1948,London,Swimming,4X100M Freestyle Relay,Silver,Women
"Samantha ""Sam"" Arsenault (-Livingstone)",United States,USA,Summer,2000,Sydney,Swimming,4X200M Freestyle Relay,Gold,Women
Pr Johan Arvidsson,Sweden,SWE,Summer,1980,Moskva,Swimming,100M Butterfly,Gold,Men
Jessica Ashwood,Australia,AUS,Summer,2016,Rio De Janeiro,Swimming,4X200M Freestyle Relay,Silver,Women
"Andrew ""Andy"" Astbury",Great Britain,GBR,Summer,1984,Los Angeles,Swimming,4X200M Freestyle Relay,Bronze,Men
"Susanne Jean ""Susie"" Atwood",United States,USA,Summer,1972,Munich,Swimming,100M Backstroke,Bronze,Women
